"","GEOID","NAME","totalpop","white.count","black.count","asian.count","latinx.count","poverty.count","medincome","poverty.pct","white.pct","black.pct","popcat","total.tax","govid","itemcode","amount.thousands","survey.year","year.of.data","origin","description","sales.tax.pct","share.held.by.1pct","state.sales.rate","avg.local.rate","Combined.Rate","max.local.rate","state.region","state.area","presidential_year","abb","population_2020","fips","mrp_ideology_se","mrp_ideology","irt_ideology_unweighted","self_ideology","self_ideology_se","irt_ideology_unweighted_sd","irt_ideology_unweighted_se","sample_size","survey_period","demshare_pres","taxpercap","salestaxpercap"
"27","30","Montana",1050649,904550,4666,8098,40314,134605,54970,12.8116050174702,86.0944045061671,0.44410645229758,1,3168557,NA,NA,0,NA,NA,NA,NA,0,16.1,0,0,0,0,"West",147138,2016,"MT",1084225,30,0.0454659236521394,0.285495977528395,0.270818016538093,3.27930535455861,0.0428858619300867,1.02343777328706,0.0376223207861885,740,"2012-2016",0.388903356829756,3.01580927598085,0
"28","31","Nebraska",1914571,1512111,89872,45303,208271,206579,61439,10.7898322914115,78.9791028904125,4.69410640817186,1,5754834,"28000000000000","T09",1966358,19,19,24,"Tax - General Sales",34.1688048690892,14.1,5.5,1.35,6.85,2,"North Central",77227,2016,"NE",1961504,31,0.0404825559457013,0.171679773938473,0.167888441832107,3.28988603988604,0.0295020012792967,0.977382813552358,0.0251855948127904,1506,"2012-2016",0.364523258868224,3.00580861195537,1.02704887935731
"29","32","Nevada",2972382,1463237,259802,237588,853041,384690,60365,12.9421453904646,49.2277574013031,8.74053200429824,1,9744547,"29000000000000","T09",5500442,19,19,24,"Tax - General Sales",56.4463591791389,24.8,6.85,1.29,8.14,1.42,"West",110540,2016,"NV",3104614,32,0.0386482889173362,0.0436433034268702,0.0667769888944494,3.05618486633439,0.0225964065945498,0.943677503420829,0.0193353805170934,2382,"2012-2016",0.512937094199852,3.27836294258275,1.85051652176604
"30","33","New Hampshire",1348124,1214927,18335,35971,50493,98682,76768,7.31994979690296,90.1198257727034,1.3600380973857,1,2934358,NA,NA,0,NA,NA,NA,NA,0,15.4,0,0,0,0,"Northeast",9304,2016,"NH",1377529,33,0.041465344663896,-0.0343401508597284,-0.042959036364624,3.04572396274344,0.0291286660281616,0.925772695591108,0.0259778082747083,1270,"2012-2016",0.501970284423807,2.17662321863567,0
"31","34","New Jersey",8878503,4916380,1125541,834073,1794736,869081,82545,9.7885983706938,55.3739746441489,12.6771483886416,2,38449650,"31000000000000","T09",10846611,19,19,24,"Tax - General Sales",28.2099082826502,19.7,6.63,-0.03,6.6,3.31,"Northeast",7836,2016,"NJ",9288994,34,0.0353867826053412,-0.109819600263024,-0.0961694959176106,2.93602885345482,0.014008931084671,0.881056473297076,0.0116504767658646,5719,"2012-2016",0.572841901429013,4.33064560545849,1.22167115334646
"32","35","New Mexico",2092454,782269,37911,30341,1020817,392065,49754,18.7370905166852,37.385242399594,1.81179610161084,1,7427622,"32000000000000","T09",2863208,19,19,24,"Tax - General Sales",38.5481113605404,13.5,5.13,2.69,7.82,4.13,"West",121666,2016,"NM",2117522,35,0.0397095814749614,0.0408474148807406,0.0064382460463919,3.04925373134328,0.0305387554516562,1.06652665333805,0.0282430731281108,1426,"2012-2016",0.546507949343241,3.54971817779507,1.36834931616179
"33","36","New York",19572319,10883812,2790504,1633539,3720983,2681277,68486,13.6993322048348,55.6081882785581,14.2574009753264,3,85368973,"33000000000000","T09",15372529,19,19,24,"Tax - General Sales",18.0071616885915,31,4,4.49,8.49,4.88,"Northeast",49576,2016,"NY",20201249,36,0.0337826449253066,-0.16204734989352,-0.174550667265624,2.87675898539034,0.00975246328728439,0.868605873098421,0.00786560004225285,12195,"2012-2016",0.634115064997754,4.36171988613102,0.785421952299061
"34","37","North Carolina",10264876,6474688,2165301,290525,962665,1467591,54602,14.2972111889126,63.0761443197171,21.0942733258541,3,29324429,"34000000000000","T09",8376578,19,19,24,"Tax - General Sales",28.5651870663876,17.2,4.75,2.22,6.97,2.75,"South",52586,2016,"NC",10439388,37,0.0347117245773481,0.097704237583385,0.0716415858076683,3.15233160621762,0.0141214168587212,0.941251384603445,0.0118351935082754,6325,"2012-2016",0.480962541962813,2.85677381782303,0.81604278512473
"35","38","North Dakota",756717,638985,21577,10876,28317,78198,64894,10.3338500390503,84.4417397785434,2.85139622870902,0,4969744,"35000000000000","T09",1053147,19,19,24,"Tax - General Sales",21.1911720201282,13.8,5,1.85,6.85,3.5,"North Central",70665,2016,"ND",779094,38,0.0528351501687922,0.245513128065993,0.224641128815154,3.28337874659401,0.0552105108915398,0.985138345754865,0.0485932910240349,411,"2012-2016",0.301907571034803,6.56750674294353,1.39173165133068
"36","39","Ohio",11655397,9197115,1425887,256584,443415,1588343,56602,13.627532378348,78.9086377752727,12.2337059818726,3,30739230,"36000000000000","T09",12709323,19,19,24,"Tax - General Sales",41.3456127560775,15.8,5.75,1.42,7.17,2.25,"North Central",41222,2016,"OH",11799448,39,0.0336814805552302,0.119849273076382,0.0845866864599543,3.10293928892312,0.0118847807522664,0.906692911522953,0.00982464568161526,8517,"2012-2016",0.457323154228641,2.63733873672428,1.09042386115205
"37","40","Oklahoma",3932870,2581231,280944,84020,417906,598373,52919,15.2146651173316,65.632248205509,7.14348554617874,1,10787693,"37000000000000","T09",3071467,19,19,24,"Tax - General Sales",28.4719541054793,15.2,4.5,4.42,8.92,6.5,"South",69919,2016,"OK",3959353,40,0.0389940744013944,0.288025326952573,0.235428089880764,3.30781758957655,0.0262324372527549,0.962118889944155,0.0215190128293624,1999,"2012-2016",0.306952627616719,2.74295692458688,0.780973436701442
"38","41","Oregon",4129803,3125842,75232,178412,537217,533527,62818,12.9189455283945,75.6898573612349,1.82168495688535,1,14184891,NA,NA,0,NA,NA,NA,NA,0,16.6,0,0,0,0,"West",96981,2016,"OR",4237256,41,0.0360906689034977,-0.0380672231194415,-0.059098545842012,2.96039603960396,0.0200489679394207,1.08386803468538,0.0179476886381148,3647,"2012-2016",0.561558389450544,3.43476214240728,0
"39","42","Pennsylvania",12791530,9777163,1363043,433115,935216,1539183,61744,12.0328295364198,76.4346641879431,10.6558245964322,3,43132450,"39000000000000","T09",11747314,19,19,24,"Tax - General Sales",27.2354433842733,18,6,0.34,6.34,2,"Northeast",45333,2016,"PA",13002700,42,0.0338573356132808,0.0662002435400947,0.0702237912481406,3.07956015523933,0.0108208533974282,0.892540423793824,0.00881287716634662,10257,"2012-2016",0.496244641925098,3.37195394139716,0.918366606652996
