state.name,state.abb,Family.size.2,Family.size.3,Family.size.4,Family.size.5,Family.size.6,GEOID,totalpop,white.count,black.count,asian.count,latinx.count,poverty.count,medincome,poverty,white,latinx,black,asian
Pennsylvania,PA,316,403,497,589,670,42,12791530,9777163,1363043,433115,935216,1539183,61744,12.032829536419802,76.43466418794311,7.311212966705312,10.65582459643217,3.3859514850842705
Rhode Island,RI,584,721,825,929,1033,44,1057231,761432,60415,35401,163226,125826,67167,11.901467134429467,72.02134632828587,15.439010017678255,5.7144559703603095,3.348464053740384
South Carolina,SC,242,305,367,430,493,45,5020806,3196421,1333876,78102,285458,741650,53199,14.771532698136514,63.663503429529044,5.68550149119484,26.566969526406716,1.5555669747048582
South Dakota,SD,563,630,696,762,828,46,870638,713546,17191,12511,33024,110553,58275,12.697929564296528,81.95668004382993,3.793080476615999,1.9745290235436541,1.4369921827441485
Tennessee,TN,343,387,438,471,502,47,6709356,4951558,1114068,116563,364174,996930,53320,14.858803139973494,73.80079399572776,5.427853284279445,16.6046935056062,1.7373202435524364
Texas,TX,267,308,370,411,473,48,28260856,11856336,3328707,1340554,11116881,4072194,61874,14.409308762622052,41.95320906061727,39.33667472775772,11.778507345991219,4.743501046111271
Utah,UT,399,498,583,663,731,49,3096848,2425647,34571,71000,434832,298537,71621,9.64002753767702,78.32631759776392,14.04111535341741,1.1163286025016403,2.2926536917536797
Vermont,VT,580,699,798,901,972,50,624313,579340,7901,10393,12038,65652,61973,10.51587905425644,92.7964018048639,1.92819947686497,1.2655510937622634,1.6647098490660934
Virginia,VA,465,559,648,772,844,51,8454463,5227569,1588726,536076,792001,865691,74222,10.239455776197731,61.83206431916492,9.36784512511321,18.791566063983012,6.340745710283432
Washington,WA,528,654,771,888,1009,53,7404107,5073945,270704,625682,937579,785244,73775,10.605519342170501,68.52879084540513,12.662958544494293,3.656133008342532,8.450472150118847
West Virginia,WV,480,542,612,670,734,54,1817305,1671546,65848,14319,28368,310044,46711,17.06064749725555,91.9793870594094,1.5609927887723856,3.623387378563312,0.7879249768200715
Wisconsin,WI,NA,NA,NA,NA,NA,55,5790716,4705599,364060,160706,394392,639160,61747,11.037667880794016,81.26109102915771,6.810763988425611,6.286960023596391,2.7752353940341745
Wyoming,WY,682,726,726,771,771,56,581024,488437,5193,4907,57341,62257,64049,10.715047915404528,84.06485790604175,9.868955499256485,0.8937668667731453,0.8445434267775513
District of Columbia,DC,NA,NA,NA,NA,NA,11,692683,253373,314774,27188,76191,107140,86420,15.46739273231767,36.57849261494796,10.999403767668616,45.442720551825296,3.9250277543984766
