GEOID,NAME,totalpop,white.count,black.count,asian.count,latinx.count,poverty.count,medincome,stabb
36069,"Ontario County, New York",112060,99839,2258,1600,5610,9284,70694,ny
36071,"Orange County, New York",398277,247892,39728,10812,85344,45401,85640,ny
36073,"Orleans County, New York",40588,34785,2275,281,2080,5298,54882,ny
36075,"Oswego County, New York",118019,109526,1175,787,3199,18466,61983,ny
36077,"Otsego County, New York",58952,53292,1036,787,2274,6650,60523,ny
36079,"Putnam County, New York",97960,74813,2884,2049,15866,5842,111617,ny
36081,"Queens County, New York",2393104,588147,402236,612411,668079,270107,75886,ny
36083,"Rensselaer County, New York",161125,132118,9804,4689,8431,17392,76731,ny
36085,"Richmond County, New York",493194,294138,44849,51101,90957,50282,89427,ny
36087,"Rockland County, New York",336485,211509,36405,19741,60782,49451,99707,ny
36089,"St. Lawrence County, New York",108836,99789,2774,1100,2558,16570,54351,ny
36091,"Saratoga County, New York",235010,210160,3613,6633,7898,14763,90800,ny
36093,"Schenectady County, New York",157515,112740,14734,7308,11732,18349,69891,ny
36095,"Schoharie County, New York",29936,27251,404,286,1047,3448,64220,ny
36097,"Schuyler County, New York",17920,16911,154,117,326,2794,56437,ny
36099,"Seneca County, New York",33900,29792,1708,207,1262,3688,59086,ny
36101,"Steuben County, New York",94153,87493,1466,1415,1598,11812,58652,ny
36103,"Suffolk County, New York",1522998,1011903,105818,61164,302968,99121,111660,ny
36105,"Sullivan County, New York",78230,54952,6227,1402,13007,10423,63393,ny
36107,"Tioga County, New York",48567,45816,426,447,1017,4454,64987,ny
36109,"Tompkins County, New York",105638,81263,3645,9859,5597,15445,64260,ny
36111,"Ulster County, New York",181862,138276,10120,3128,19433,22934,71040,ny
36113,"Warren County, New York",65692,61104,772,494,1807,5151,68765,ny
36115,"Washington County, New York",61504,56005,1640,399,1783,6893,63869,ny
36117,"Wayne County, New York",91332,81149,1932,771,4210,10079,64152,ny
36119,"Westchester County, New York",999723,523741,132724,59480,251810,80169,105387,ny
36121,"Wyoming County, New York",40679,36109,1635,265,1363,3495,60013,ny
36123,"Yates County, New York",24808,23507,203,199,545,3111,57635,ny
